서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,서울시 의심환자 전체,서울시 의심환자 검사중,서울시 의심환자 검사결과(음성),전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망,전국 의심환자 전체,전국 의심환자 검사중,전국 의심환자 검사결과(음성),자가격리자 해외입국자 감시중,자가격리자 해외입국자 감시해제,자가격리자 접촉자 감시중,자가격리자 접촉자 감시해제,확인중 확진자
2021.05.31,43917,130,2614,40815,136,488,,,,2021.05.31.00,140340,430,7558,130823,1959,,,,,,,,0
2021.05.30,43787,160,2620,40679,90,488,,,,2021.05.30.00,139910,480,7572,130381,1957,,,,,,,,0
2021.05.29,43627,194,2552,40589,533,486,,,,2021.05.29.00,139431,533,7741,129739,1951,,,,,,,,0
2021.05.28,43433,214,2892,40056,202,485,,,,2021.05.28.00,138898,587,8191,128761,1946,,,,,,,,0
2021.05.27,43219,218,2883,39854,174,482,,,,2021.05.27.00,138311,629,8188,128180,1943,,,,,,,,0
2021.05.26,43001,262,2840,39680,234,481,,,,2021.05.26.00,137682,707,8160,127582,1940,,,,,,,,0
2021.05.25,42739,138,2813,39446,170,480,,,,2021.05.25.00,136983,516,8052,126993,1938,,,,,,,,0
2021.05.24,42601,139,2845,39276,124,480,,,,2021.05.24.00,136467,538,8106,126427,1934,,,,,,,,0
2021.05.23,42462,181,2830,39152,289,480,,,,2021.05.23.00,135929,585,8117,125881,1931,,,,,,,,0
2021.05.22,42281,208,2938,38863,450,480,,,,2021.05.22.00,135344,666,8386,125032,1926,,,,,,,,0
2021.05.21,42073,172,3181,38413,143,479,,,,2021.05.21.00,134678,561,8598,124158,1922,,,,,,,,0
2021.05.20,41901,242,3156,38270,151,475,,,,2021.05.20.00,134117,646,8542,123659,1916,,,,,,,,0
2021.05.19,41659,249,3066,38119,159,474,,,,2021.05.19.00,133471,654,8322,123237,1912,,,,,,,,0
2021.05.18,41410,172,2978,37960,126,472,,,,2021.05.18.00,132818,528,8283,122631,1904,,,,,,,,0
2021.05.17,41238,195,2932,37834,113,472,,,,2021.05.17.00,132290,619,8224,122163,1903,,,,,,,,0
